StudyID	Age-Min	Age-Max	MALE	FEMALE	Unknown	Other Gender	White/ Caucasian	European	Asian Korean	Asian	Black / African 	Black or African American 	African	African Barbedian	Indian/Native American	Native Hawaiian or Pacific Islander	American Indian or Alaska Native	Multiple Races	Hispanic	Non Hispanic	Other/ Unknown	Missing	Ashkenazi Jewish	French Canadian 	Polish 	Italian	"England,Ireland (2)"	Ireland 	Lebanese	"Irish, Italian"	"Germany [non Ashkenazi jewish],England ,Ireland "	Han_Chinese	Puerto Rican	Hawaiian	Mexican	British	Swiss	Spaniard	Portugese	French	Finnish	German	Russian	Ukrainian	Romanian	Hungarian	Czehs	Jewish	Israeli	Canadian	Dutch Canadian	American (USA)	European American	Mexican American	Peruvian	venezuelan	Cuban	Indian	Japanese	Chinese	Filipino	Middle Eastern	Arabic	Omani Arabic	Pakistani	Turkish	Amhara	Hamer
phs000555.v1.p1																																																																				
phs000559.v1.p1																																																																				
phs000561.v1.p1			6	5																																																																
phs000562.v1.p1	0	85	32	13	14			44		6		1											9																																													
phs000564.v1.p1	0.014	32	7	2																																																																
phs000571.v1.p1																																																																				
phs000481.v1.p1	30.04	88.12	314	283			597																																																													
phs000430.v1.p1																																																																				
phs000517.v1.p1	45	200	0	3708								937							1064																1707																																	
phs000493.v1.p1																																																																				
phs000585.v1.p1																																																																				
phs000285.v2.p2																																																																				
phs000573.v1.p1	9	82	49	34	11			17		29		4											44																																													
phs000525.v1.p1																																																																				
phs000541.v1.p1	2	62	2	5			7																																																													
phs000123.v1.p1	6	200	280	352																																																																
phs000184.v1.p1	9	200																																																																		
phs000227.v1.p2	50	79		36186																																																																
phs000246.v1.p1	60	200																																																																		
phs000281.v4.p2	50	79	0	2150				1145				1005																																																								
phs000282.v7.p7			0	0																																																																
phs000283.v4.p2 	45	84																																																																		
phs000296.v1.p2	45	80	136	136				289																																																												
phs000301.v1.p1	65	200																																																																		
phs000307.v3.p7 																																																																				
phs000315.v4.p2 	50	79	0	4929																																																																
phs000342.v6.p7 			0	0																																																																
phs000363.v5.p7 																																																																				
phs000377.v1.p1 	65	200																																																																		
phs000386.v4.p2 	50	79	0	12061																																																																
phs000420.v3.p2	45	84																																																																		
phs000429.v1.p1 	55	81	823	1177			1914														86																																															
phs000441.v2.p6 			0	488																																																																
phs000463.v3.p1 	1	21	189	89	1		200		1			18				1		12	52	195													2	1	25																																	
phs000464.v3.p1			91	85																																																																
phs000465.v3.p1			145	127	47																																																															
phs000466.v3.p1 			11		3																																																															
phs000467.v3.p1 	0.014	20.4	380	264			338	3	1		49				1				24	315													1		18																																	
phs000468.v3.p1 			24	13	49																																																															
phs000469.v3.p1 			3	4	4																																																															
phs000470.v3.p1 			18	22	3																																																															
phs000471.v3.p1			53	74	8																																																															
phs000489.v2.p6			128	80																																																																
phs000498.v1.p1 			740	1243																																																																
phs000499.v1.p1																																																																				
phs000503.v2.p2 			0	3039																																																																
phs000515.v2.p1 			19	10	1																																																															
phs000527.v2.p1																																																																				
phs000528.v2.p1																																																																				
phs000529.v2.p1 			3	0																																																																
phs000530.v2.p1																																																																				
phs000531.v2.p1 			16	4	3		17									1			2		3																																															
phs000532.v2.p1 			68	37																																																																
phs000533.v2.p1			6	7																																																																
phs000534.v2.p1 																																																																				
phs000544.v1.p6			143	133																																																																
